exp,ACC_val,MSE_train,MSE_val,cpu_energy,cpu_power,cpu_usage,disk_usage,emissions,emissions_rate,energy_consumed,gpu_energy,gpu_power,memory_usage,param_batch_size,param_epochs,param_lr,param_seed,ram_energy,ram_power,train_epoch_time_ms,epochs,lr_min,lr_max
0,0.1187499985098838,0.5442293882369995,0.5443199872970581,2.433339614071884e-05,2.800069093704224,49.20000076293945,0.8999999761581421,0.0001007627943181,1.1082432820330723e-06,0.0001007627943181,0.0,0.0,17.200000762939453,8.0,5.0,0.1000000014901161,1.0,7.642940181540325e-05,10.0,4191.3173828125,5,0.1000000014901161,0.1000000014901161
1,0.0825000032782554,0.0898730084300041,0.0900281071662902,1.963968679774553e-05,2.800069093704224,49.400001525878906,0.8999999761581421,8.020320092327893e-05,1.0867129276448395e-06,8.020320092327893e-05,0.0,0.0,17.100000381469727,8.0,5.0,0.0099999997764825,2.0,6.056351776351221e-05,10.0,3963.60498046875,5,0.0099999997764825,0.0099999997764825
2,0.2737500071525574,0.0880524292588234,0.086143709719181,2.5584242393961176e-05,2.8000850677490234,49.5,0.8999999761581421,0.0001047874102368,1.1138640729768667e-06,0.0001047874102368,0.0,0.0,17.100000381469727,8.0,5.0,0.0010000000474974,3.0,7.92031642049551e-05,10.0,4232.64599609375,5,0.0010000000474974,0.0010000000474974
3,0.0981250032782554,0.3161526024341583,0.2948578596115112,4.4173066271469e-05,2.80004358291626,49.70000076293945,0.8999999761581421,0.000173577631358,1.1678012015181594e-06,0.000173577631358,0.0,0.0,17.100000381469727,16.0,5.0,0.1000000014901161,4.0,0.0001294045650865,10.0,7099.5966796875,5,0.1000000014901161,0.1000000014901161
4,0.0981250032782554,0.0903841853141784,0.0900701358914375,4.251314021530561e-05,2.8000850677490234,49.70000076293945,0.8999999761581421,0.0001750469527905,1.1512163382576546e-06,0.0001750469527905,0.0,0.0,17.100000381469727,16.0,5.0,0.0099999997764825,5.0,0.0001325338234892,10.0,7912.17578125,5,0.0099999997764825,0.0099999997764825
5,0.2043749988079071,0.0896874964237213,0.08820341527462,4.164683195995167e-05,2.800123691558838,49.59999847412109,0.8999999761581421,0.0001719946885714,1.148817773355404e-06,0.0001719946885714,0.0,0.0,17.100000381469727,16.0,5.0,0.0010000000474974,6.0,0.0001303478493355,10.0,10103.3525390625,5,0.0010000000474974,0.0010000000474974
6,0.0984375029802322,0.5432748794555664,0.5555949211120605,7.482737419195473e-05,2.8000850677490234,49.70000076293945,0.8999999761581421,0.0002959068224299,1.1833323014798225e-06,0.0002959068224299,0.0,0.0,17.100000381469727,32.0,5.0,0.1000000014901161,7.0,0.000221079433686,10.0,13977.232421875,5,0.1000000014901161,0.1000000014901161
7,0.1009375005960464,0.0900298878550529,0.0900211706757545,6.956016295589507e-05,2.80004358291626,49.900001525878906,0.8999999761581421,0.000276605511317,1.1780157365137711e-06,0.000276605511317,0.0,0.0,17.200000762939453,32.0,5.0,0.0099999997764825,8.0,0.000207045362913,10.0,13273.330078125,5,0.0099999997764825,0.0099999997764825
8,0.3290624916553497,0.0811192244291305,0.0813335478305816,7.855093281250447e-05,2.800123691558838,49.900001525878906,0.8999999761581421,0.0003147321112919,1.1812910543085309e-06,0.0003147321112919,0.0,0.0,17.100000381469727,32.0,5.0,0.0010000000474974,9.0,0.0002361811639275,10.0,15651.90625,5,0.0010000000474974,0.0010000000474974
