out_cluster,exp,ACC_val,MSE_train,MSE_val,cpu_energy,cpu_power,cpu_usage,disk_usage,emissions,emissions_rate,energy_consumed,gpu_energy,gpu_power,memory_usage,param_batch_size,param_epochs,param_lr,param_seed,ram_energy,ram_power,train_epoch_time_ms,epochs,lr_min,lr_max
1,7.0,0.1009375005960464,0.0900298878550529,0.0900211706757545,7.482737419195473e-05,2.8000850677490234,49.900001525878906,0.8999999761581421,0.0002959068224299,1.1812910543085309e-06,0.0002959068224299,0.0,0.0,17.100000381469727,32.0,5.0,0.0099999997764825,8.0,0.000221079433686,10.0,13977.232421875,5.0,0.0,0.0090450849718747
2,4.0,0.0981250032782554,0.0903841853141784,0.0900701358914375,4.251314021530561e-05,2.8000850677490234,49.70000076293945,0.8999999761581421,0.000173577631358,1.1512163382576546e-06,0.000173577631358,0.0,0.0,17.100000381469727,16.0,5.0,0.0099999997764825,5.0,0.0001303478493355,10.0,7912.17578125,5.0,0.0,0.0090450849718747
3,1.0,0.1187499985098838,0.0898730084300041,0.0900281071662902,2.433339614071884e-05,2.800069093704224,49.400001525878906,0.8999999761581421,0.0001007627943181,1.1082432820330723e-06,0.0001007627943181,0.0,0.0,17.100000381469727,8.0,5.0,0.0099999997764825,2.0,7.642940181540325e-05,10.0,4191.3173828125,5.0,0.0,0.0904508497187473
